,Title,Published_date,Views,Likes,Comments,Month
0,State of Data Science - Web Data,2022-08-05,6468,280,26,Aug
1,Data Science Town Hall - State of Data Science,2022-08-04,7903,341,37,Aug
2,How I Would Learn to Code (If I Had to Start Over) | Data Track,2022-07-29,6195,400,48,Jul
3,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,21906,1233,83,Jun
4,Can Machine Learning Fix My Baseball Swing?,2022-06-10,6171,306,68,Jun
5,Every Data Scientist... (funny!),2022-05-24,11605,694,141,May
6,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15460,426,65,May
7,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,31758,961,81,Apr
8,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,14059,630,97,Mar
9,Can Data Defeat This Deceitful OpenSea NFT Scam?,2022-03-03,4338,183,51,Mar
10,When a PM Joins the Data Team... (funny!) - Ft @Luke Barousse,2022-02-21,9127,434,141,Feb
11,What Professional Data Scientists ACTUALLY Do,2022-02-14,75871,2644,174,Feb
12,Can You Analyze My Data Better Than I Can?,2022-01-31,5973,300,64,Jan
13,Giving Back to My Most Engaged Subscribers!,2022-01-28,2173,117,89,Jan
14,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,10408,525,64,Jan
15,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,7900,408,83,Jan
16,Should  @Luke Barousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,6096,172,32,Jan
17,The Only Data Science Explanation You Need,2022-01-10,25283,1447,160,Jan
18,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,13535,630,150,Jan
19,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,257774,11784,465,Dec
20,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,7232,309,56,Dec
21,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,5775,393,21,Dec
22,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,21375,1064,151,Dec
23,Why Is Data Engineering So HOT Right Now?,2021-11-26,26357,1000,136,Nov
24,Is Data Science Dying?,2021-11-19,97873,3194,328,Nov
25,7 Incredible Books That Transformed My Health and My Life,2021-11-12,7382,376,112,Nov
26,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3511,196,48,Nov
27,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,8452,232,31,Oct
28,ML Ops: What is it REALLY?,2021-10-22,4844,229,61,Oct
29,Business Skills for Data Science: What are they REALLY?,2021-10-18,6104,283,50,Oct
30,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),2021-10-12,2169,123,5,Oct
31,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5233,267,67,Oct
32,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,11549,506,111,Aug
33,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,7521,283,32,Aug
34,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,27150,986,29,Aug
35,How I Learned to Learn.,2021-07-31,38630,1956,195,Jul
36,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,7996,459,48,Jul
37,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2342,93,30,Jul
38,Why are APIs Important for Data Science?,2021-07-09,8019,403,92,Jul
39,Is Your Phone REALLY Listening to You?,2021-07-03,4824,274,120,Jul
40,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,11041,496,125,Jun
41,#66DaysOfData - 3 Reasons to Start!,2021-06-18,3699,196,40,Jun
42,#66DaysOfData - What is it? #shorts,2021-06-11,7514,329,53,Jun
43,A Quick Data Science Project Tip! #SHORTS,2021-06-03,13926,783,89,Jun
44,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7175,383,201,May
45,How Data Science Projects Pay Off,2021-05-22,9887,575,149,May
46,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,9898,464,136,May
47,What is a lambda function (python)? #shorts,2021-05-13,10115,650,47,May
48,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,17225,781,57,May
49,What is Pandas? (Data & Data Science) #shorts,2021-04-30,16314,703,91,Apr
50,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,63733,2921,278,Apr
51,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,22014,646,90,Apr
52,Why You Probably Won't Become a Data Scientist,2021-04-09,122308,3571,474,Apr
53,How to Go From Data Analyst to Data Scientist,2021-04-02,46744,1327,174,Apr
54,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3770,137,89,Mar
55,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,13765,306,106,Mar
56,My Regrets as a Data Science Student,2021-03-12,22137,817,112,Mar
57,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3729,194,83,Mar
58,What is the Future of my Comment Leaderboard Project?,2021-02-26,5385,198,81,Feb
59,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,5925,162,51,Feb
60,Why I Quit Data Science,2021-02-12,102150,2306,350,Feb
61,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,8845,409,115,Jan
62,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6865,293,126,Jan
63,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,8117,270,52,Jan
64,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,18218,626,134,Jan
65,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,30509,1029,149,Jan
66,What is the #66DaysOfData?,2020-12-26,63190,2142,208,Dec
67,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,128704,5923,507,Dec
68,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10065,379,136,Dec
69,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,22251,702,325,Dec
70,7 Things to Look For in a Masters For Data Science (feat. @Tina Huang),2020-11-20,23018,731,163,Nov
71,6 Lessons from #66DaysOfData,2020-11-13,6540,339,95,Nov
72,100K Channel Update + AMA Stream!,2020-11-12,2313,128,24,Nov
73,Find a Data Science Project With These 3 Techniques,2020-11-06,14823,631,101,Nov
74,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,22076,596,154,Oct
75,git for Data Science Made Simple... (Hopefully),2020-10-23,15384,742,92,Oct
76,The PODCAST you might have asked for?,2020-10-19,1974,94,44,Oct
77,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6466,444,113,Oct
78,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,11498,355,48,Oct
79,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,5751,126,62,Oct
80,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,8675,483,81,Oct
81,Sh*t Data Scientists Say (Parody),2020-10-05,8996,570,142,Oct
82,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8381,362,93,Oct
83,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,6863,283,61,Sep
84,Data Science Resume Round-Up With @Tina Huang  - Episode 1,2020-09-28,10294,273,69,Sep
85,5 Essential Data Science Projects for Your Portfolio,2020-09-26,64004,2868,201,Sep
86,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,4950,191,66,Sep
87,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,9568,393,58,Sep
88,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7119,249,34,Sep
89,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,4993,192,56,Sep
90,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,3898,152,35,Sep
91,The 5 Pillars of Success I Live By,2020-09-11,9926,868,153,Sep
92,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1861,77,25,Sep
93,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,3797,158,43,Sep
94,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11130,715,145,Sep
95,How She Dominated the FAANG Data Science Interview  (@Tina Huang ) - KNN EP. 11,2020-09-02,17171,556,90,Sep
96,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,15907,749,93,Aug
97,Why I'm Starting Data Science Over Again.,2020-08-29,50232,2598,452,Aug
98,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,14072,591,76,Aug
99,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,11398,426,54,Aug
100,Don't Buy My Course..,2020-08-21,7262,356,148,Aug
101,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,27428,1068,166,Aug
102,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3107,128,40,Aug
103,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6028,532,110,Aug
104,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4691,182,39,Aug
105,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,9315,307,53,Aug
106,The Plagiarism Problem in Data Science,2020-08-07,12871,623,150,Aug
107,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,13903,589,88,Aug
108,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4657,183,56,Aug
109,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,10125,542,90,Jul
110,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2261,115,34,Jul
111,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5338,248,112,Jul
112,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8029,246,201,Jul
113,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1824,98,27,Jul
114,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,25761,531,90,Jul
115,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,228514,5533,389,Jul
116,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,28130,1056,120,Jul
117,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3469,132,50,Jul
118,The Best Computer for Data Science Beginners,2020-07-10,32382,776,156,Jul
119,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,5986,227,84,Jul
120,Critiquing MY OWN Data Science Resume,2020-07-06,11920,385,92,Jul
121,Where to Start Learning Data Science,2020-07-03,17743,751,133,Jul
122,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3858,195,37,Jul
123,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4398,174,54,Jun
124,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,14450,520,79,Jun
125,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2307,81,40,Jun
126,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2358,137,51,Jun
127,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4145,163,46,Jun
128,Why You're Struggling to Learn Data Science,2020-06-12,14877,999,159,Jun
129,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,9811,307,70,Jun
130,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,20960,643,151,Jun
131,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5597,154,53,Jun
132,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,56008,1854,263,May
133,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20791,487,81,May
134,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,49049,1735,174,May
135,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11008,174,55,May
136,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,92519,3456,185,May
137,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3080,146,115,May
138,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4253,149,74,May
139,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1348908,47947,1995,May
140,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5021,185,42,May
141,What You Need to Know for a Data Science Internship,2020-05-01,16467,967,58,May
142,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,7894,341,57,Apr
143,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14777,459,103,Apr
144,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,2944,83,24,Apr
145,5 Tips for Crushing the Work From Home Life,2020-04-20,5176,199,38,Apr
146,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,14974,606,122,Apr
147,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,21649,610,95,Apr
148,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,33104,727,140,Apr
149,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,56713,1600,205,Apr
150,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,59804,1463,259,Apr
151,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,86750,2709,614,Apr
152,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,126708,3696,161,Apr
153,When Data Science Goes Wrong,2020-03-30,1749,106,32,Mar
154,How to ULTRALEARN Data Science,2020-03-27,59127,3706,168,Mar
155,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4203,265,50,Mar
156,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,11373,427,44,Mar
157,The Secret Data Scientists Don't Want You to Know,2020-03-16,10131,1101,107,Mar
158,The 5 Stages of Learning Data Science,2020-03-13,16529,1250,78,Mar
159,Can You Learn Data Science Without a Computer?,2020-03-11,1284,97,14,Mar
160,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,323639,20245,612,Mar
161,The Data Science Projects that Got Me a Job,2020-03-06,37210,1309,41,Mar
162,How to Integrate Data Science into Your Business,2020-03-02,2963,115,18,Mar
163,The Problem with Data Science,2020-02-28,3557,149,21,Feb
164,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1055,45,16,Feb
165,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,94689,1949,89,Feb
166,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,285127,16298,507,Feb
167,Data Science Advice for College Students,2020-02-14,66561,1905,195,Feb
168,Avoid These Data Science Resume Mistakes!,2020-02-10,25366,1139,57,Feb
169,Data Science Explained with ... Cooking?,2020-02-07,4441,276,45,Feb
170,The 4 Types of Sports Analytics Projects,2020-02-03,22403,779,58,Feb
171,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,526,18,13,Jan
172,How I Learned Data Science,2020-01-27,90513,2586,210,Jan
173,What is Sports Analytics Really?,2020-01-20,16604,500,73,Jan
174,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,102066,2895,579,Jan
175,How To Learn Programming for Data Science [3 Steps],2020-01-13,28153,1903,98,Jan
176,Data Science Fundamentals: SQL Queries,2020-01-10,5516,197,32,Jan
177,Questions You Should Ask Your Data Science Interviewers,2020-01-06,2641,136,14,Jan
178,The 9 Books That Changed My Perspective in 2019,2020-01-03,3197,177,23,Jan
179,The Data Science Interview: What to Expect,2019-12-30,7316,346,32,Dec
180,5 Data Science Resolutions for 2020,2019-12-27,468,25,12,Dec
181,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,13573,488,91,Dec
182,Collision Course: Sports Betting + Data Science,2019-12-20,12878,402,26,Dec
183,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,98284,2878,214,Dec
184,5 Sports Analytics Books to Get You Started,2019-12-13,8718,326,55,Dec
185,Math Needed for Mastering Data Science,2019-12-09,52683,2717,225,Dec
186,The 5 Stages of Data Science Adoption,2019-12-06,1164,63,17,Dec
187,How YOU Can Land a Sports Analytics Job,2019-12-02,58638,2653,222,Dec
188,Data Science Fundamentals: Linear Regression,2019-11-29,5504,158,41,Nov
189,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,895,45,12,Nov
190,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5047,238,26,Nov
191,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,43304,1665,80,Nov
192,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5783,135,31,Nov
193,Why Selling Is An Important Data Science Skill,2019-11-04,1526,73,13,Nov
194,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2544,69,18,Oct
195,Why is Balance Important in Data Science?,2019-10-16,658,32,13,Oct
196,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,10821,547,56,Sep
197,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,2969,97,29,Sep
198,6 Habits of Successful Data Scientists,2019-09-13,1816,87,17,Sep
199,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,3369,85,9,Sep
200,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,511,24,29,Aug
201,Is Data Science Right For You?,2019-08-18,47093,1102,109,Aug
202,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,12818,352,53,Aug
203,How To Get Data Science Experience (Without a Job),2019-08-08,27476,1311,71,Aug
204,Take Your Data Science Projects From Good to Great,2019-08-05,1509,104,11,Aug
205,The Projects You Should Do To Get A Data Science Job,2019-07-30,140882,5460,251,Jul
206,What Does a Data Scientist Actually Do?,2019-07-19,31535,1078,73,Jul
207,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,11100,320,41,Jul
208,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,15649,480,61,Jul
209,Data Science: Pros and Cons,2019-06-30,4603,199,18,Jun
210,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,22091,1079,89,Jun
211,My Top 5 Data Science Internship Tips,2019-06-15,10244,439,19,Jun
212,Golf STATS: Strokes Gained Explained,2019-06-07,5869,127,28,Jun
213,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,575,44,5,May
214,What I Learned From My Three Degrees,2019-05-17,1168,58,12,May
215,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,24832,1039,67,May
216,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1154,40,2,May
217,Should You Learn R for Data Science?,2019-04-25,17771,497,69,Apr
218,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,44505,824,337,Apr
219,Work From Home Data Scientist: Day in the Life,2019-04-12,27590,751,103,Apr
220,Where to Look for Data Science Jobs,2019-03-29,2901,118,9,Mar
221,Data Science: Startup vs. Large Corporation,2019-03-21,1894,71,4,Mar
222,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5474,155,27,Mar
223,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,3930,171,14,Mar
224,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,735,29,12,Mar
225,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1314,33,8,Mar
226,Where YOU Should Start With Data Science Projects,2019-02-19,12555,277,17,Feb
227,Watch This Before Applying to Data Science Jobs,2019-02-04,1393,62,13,Feb
228,My Top 5 Data Science Resources for 2019,2019-01-05,3578,117,17,Jan
229,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,788,36,6,Dec
230,The Best Way to Predict NBA Minutes Played,2018-12-11,3523,95,13,Dec
231,Demystifying Data Science Roles,2018-11-30,1078,51,5,Nov
232,How to Simulate NBA Games in Python,2018-11-19,15471,352,54,Nov
233,Should You Get A Masters in Data Science?,2018-11-14,19715,294,141,Nov
234,How I Became A Data Scientist From a Business Background,2018-11-12,6047,187,23,Nov
235,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,7737,175,17,Jul
236,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,17755,269,41,Nov
